,word1,word2,pos,sim,sim1,sim2,cosin,pearsonr,spearmanr,std
201,nhức_nhối,nhấp_nhỏm,A,0.32,1.93,3.22,NaN,NaN,NaN,1.24
202,cũ_kỹ,mới_mẻ,A,0.06,0.33,0.55,0.66,"[0.33, 0.0]","[0.33, 0.0]",0.6
203,nhạo,hạ_bút,V,0.13,0.8,1.33,NaN,NaN,NaN,0.83
204,sân_vận_động,khán_đài,N,0.39,2.33,3.88,0.79,"[0.57, 0.0]","[0.53, 0.0]",0.7
205,chủ_nghĩa_hình_thức,truyện_tranh,N,0.26,1.53,2.55,NaN,NaN,NaN,1.26
206,được,mất,V,0.07,0.4,0.67,0.5,"[0.0, 0.98]","[-0.03, 0.71]",0.49
207,hiểu,tiên_lượng,V,0.41,2.47,4.12,0.63,"[0.26, 0.0]","[0.31, 0.0]",1.31
208,quét_dọn,loại_bỏ,V,0.62,3.73,6.22,0.52,"[0.05, 0.56]","[0.04, 0.65]",0.85
209,bay_hơi,bay,V,0.58,3.47,5.78,0.57,"[0.14, 0.08]","[0.17, 0.03]",0.72
210,dễ_dàng,khó_khăn,A,0.11,0.67,1.12,0.71,"[0.44, 0.0]","[0.41, 0.0]",1.25
211,gạ,gạ_gẫm,V,0.89,5.33,8.88,0.84,"[0.68, 0.0]","[0.64, 0.0]",0.6
212,vắng_tanh,lịch_bịch,A,0.08,0.47,0.78,NaN,NaN,NaN,0.72
213,nhậm_chức,nhiệm_chức,V,0.78,4.67,7.78,0.66,"[0.32, 0.0]","[0.32, 0.0]",1.07
214,hồ_sơ,bằng_cớ,N,0.68,4.07,6.78,NaN,NaN,NaN,0.57
215,hổ_thẹn,bắt_buộc,V,0.1,0.6,1.0,0.64,"[0.29, 0.0]","[0.33, 0.0]",0.88
216,dấu_hiệu,đặc_trưng,N,0.53,3.2,5.33,0.56,"[0.13, 0.12]","[0.12, 0.16]",0.75
217,người_dân,tộc_người,N,0.65,3.87,6.45,0.67,"[0.34, 0.0]","[0.34, 0.0]",1.09
218,bè_cánh,vây_cánh,N,0.78,4.67,7.78,NaN,NaN,NaN,0.94
219,bật_lửa,giảm_xóc,N,0.43,2.6,4.33,0.59,"[0.18, 0.03]","[0.17, 0.04]",1.14
220,sinh_vật_cảnh,không_trung,N,0.1,0.6,1.0,0.54,"[0.07, 0.37]","[0.1, 0.22]",0.8
221,chần_chờ,dứt_khoát,V,0.07,0.4,0.67,0.46,"[-0.08, 0.33]","[-0.06, 0.44]",0.8
222,tư_thế,phong_thái,N,0.83,5.0,8.33,0.67,"[0.34, 0.0]","[0.35, 0.0]",0.63
223,máy_vi_tính,phím,N,0.47,2.8,4.67,0.62,"[0.23, 0.0]","[0.22, 0.01]",0.65
224,sụp_đổ,kìm_nén,V,0.37,2.2,3.67,0.61,"[0.22, 0.01]","[0.16, 0.05]",1.05
225,mắc_kẹt,cầm_giữ,V,0.89,5.33,8.88,0.74,"[0.48, 0.0]","[0.49, 0.0]",0.87
226,hình_hoạ,khí_quyển,N,0.05,0.27,0.45,0.55,"[0.1, 0.24]","[0.05, 0.53]",0.57
227,thuộc_địa,kiều_dân,N,0.66,3.93,6.55,0.66,"[0.32, 0.0]","[0.32, 0.0]",1.24
228,nhà_hát,sân_khấu,N,0.43,2.6,4.33,0.72,"[0.44, 0.0]","[0.41, 0.0]",1.02
229,thìa,muỗng,N,0.78,4.67,7.78,0.92,"[0.84, 0.0]","[0.84, 0.0]",0.87
230,tỏ,biểu_lộ,V,0.8,4.8,8.0,0.75,"[0.5, 0.0]","[0.49, 0.0]",1.11
231,chiến_tranh,trận_chiến,N,0.46,2.73,4.55,0.71,"[0.41, 0.0]","[0.39, 0.0]",0.68
232,cộc,va,V,0.83,5.0,8.33,0.52,"[0.05, 0.52]","[0.05, 0.52]",0.89
233,tính_sổ,giám_đốc_thẩm,V,0.21,1.27,2.12,0.52,"[0.03, 0.71]","[0.03, 0.67]",1.12
234,hơn,thua,A,0.13,0.8,1.33,0.54,"[0.07, 0.38]","[0.06, 0.45]",1.22
235,cựu_binh,tân_binh,N,0.11,0.67,1.12,0.73,"[0.46, 0.0]","[0.39, 0.0]",0.79
236,tính_sổ,nuôi_dưỡng,V,0.1,0.6,1.0,0.54,"[0.08, 0.36]","[0.04, 0.65]",0.95
237,ngữ_cảnh,văn_cảnh,N,0.79,4.73,7.88,NaN,NaN,NaN,0.93
238,hâm_nóng,cải_biến,V,0.53,3.2,5.33,0.7,"[0.39, 0.0]","[0.4, 0.0]",1.22
239,bón,tẩm,V,0.15,0.93,1.55,0.61,"[0.23, 0.0]","[0.24, 0.0]",0.85
240,thảm,thê_thảm,A,0.96,5.73,9.55,0.61,"[0.22, 0.01]","[0.24, 0.0]",0.44
241,lắp_đặt,nhồi_nhét,V,0.59,3.53,5.88,0.54,"[0.09, 0.27]","[0.13, 0.11]",0.88
242,tạo_hoá,tạo_vật,N,0.43,2.6,4.33,0.65,"[0.29, 0.0]","[0.29, 0.0]",1.25
243,hen,cúm,N,0.65,3.87,6.45,0.67,"[0.34, 0.0]","[0.32, 0.0]",1.2
244,mệt_mỏi,mỏi_mệt,A,0.96,5.73,9.55,0.89,"[0.77, 0.0]","[0.75, 0.0]",0.77
245,tắc_nghẽn,thông_suốt,V,0.07,0.4,0.67,0.68,"[0.36, 0.0]","[0.34, 0.0]",0.61
246,trọng,coi_trọng,V,0.93,5.6,9.33,0.69,"[0.38, 0.0]","[0.39, 0.0]",0.61
247,đẽo,bắt,V,0.12,0.73,1.22,0.53,"[0.07, 0.43]","[0.08, 0.35]",0.93
248,len_lách,len_lỏi,V,0.83,5.0,8.33,NaN,NaN,NaN,0.97
249,hú,ca,V,0.65,3.87,6.45,0.57,"[0.15, 0.07]","[0.14, 0.08]",0.96
250,danh_sách,mục,N,0.52,3.13,5.22,0.63,"[0.26, 0.0]","[0.25, 0.0]",0.81
251,chuyển_nhượng,phát_mại,V,0.52,3.13,5.22,0.59,"[0.18, 0.03]","[0.19, 0.02]",0.96
252,vòng_tay,trang_sức,N,0.69,4.13,6.88,0.56,"[0.11, 0.18]","[0.1, 0.21]",1.15
253,đổ_bê_tông,chăm_sóc,V,0.19,1.13,1.88,0.53,"[0.06, 0.5]","[0.05, 0.56]",1.2
254,kín,phát,V,0.13,0.8,1.33,0.51,"[0.02, 0.8]","[0.04, 0.59]",0.91
255,người_tình,chiến_sĩ,N,0.48,2.87,4.78,0.55,"[0.11, 0.17]","[0.1, 0.21]",0.88
256,cuối,đầu,N,0.09,0.53,0.88,0.82,"[0.64, 0.0]","[0.65, 0.0]",0.72
257,cần_tây,đậu_bắp,N,0.49,2.93,4.88,0.78,"[0.56, 0.0]","[0.53, 0.0]",0.77
258,định_kì,bất_thường,N,0.11,0.67,1.12,0.58,"[0.16, 0.06]","[0.12, 0.15]",1.14
259,thiện_chí,ác_ý,N,0.1,0.6,1.0,0.65,"[0.31, 0.0]","[0.3, 0.0]",0.88
260,biên_cương,biên_giới,N,0.89,5.33,8.88,0.68,"[0.36, 0.0]","[0.36, 0.0]",0.6
261,sông,cửa_sông,N,0.45,2.67,4.45,0.82,"[0.64, 0.0]","[0.63, 0.0]",1.14
262,tím,bẹp,A,0.12,0.73,1.22,0.55,"[0.11, 0.19]","[0.08, 0.32]",1.06
263,năm_âm_lịch,tháng_âm_lịch,N,0.4,2.4,4.0,0.79,"[0.56, 0.0]","[0.48, 0.0]",0.88
264,đỡ_đần,suy_xét,V,0.12,0.73,1.22,0.58,"[0.16, 0.05]","[0.15, 0.07]",1.06
265,bầm,mệ,N,0.93,5.6,9.33,0.52,"[0.05, 0.53]","[0.06, 0.47]",0.61
266,dáng,tản_bộ,N,0.62,3.73,6.22,0.55,"[0.1, 0.23]","[0.12, 0.13]",0.93
267,sinh_vật,tế_bào,N,0.47,2.8,4.67,0.75,"[0.5, 0.0]","[0.49, 0.0]",0.75
268,giở_quẻ,giở_chứng,V,0.91,5.47,9.12,NaN,NaN,NaN,0.62
269,nhau,rau,N,0.79,4.73,7.88,0.56,"[0.12, 0.15]","[0.11, 0.2]",0.68
270,đồng_tình,phản_đối,A,0.11,0.67,1.12,0.65,"[0.29, 0.0]","[0.29, 0.0]",0.94
271,thanh,dụng_cụ,N,0.51,3.07,5.12,0.57,"[0.15, 0.07]","[0.17, 0.03]",0.68
272,điệu,háo,A,0.17,1.0,1.67,0.55,"[0.11, 0.18]","[0.08, 0.31]",1.21
273,tử_trận,tiếp_sức,V,0.07,0.4,0.67,0.54,"[0.07, 0.37]","[0.08, 0.35]",0.71
274,trù_dập,trù_úm,V,0.9,5.4,9.0,0.8,"[0.59, 0.0]","[0.61, 0.0]",0.71
275,tứ_kết,trận_đấu,N,0.58,3.47,5.78,0.7,"[0.4, 0.0]","[0.38, 0.0]",1.02
276,tình_ca,ca_khúc,N,0.61,3.67,6.12,0.74,"[0.49, 0.0]","[0.5, 0.0]",1.25
277,báo_ân,trả_thù,V,0.18,1.07,1.78,0.54,"[0.09, 0.26]","[0.15, 0.08]",1.18
278,vững_tâm,vững_lòng,A,0.92,5.53,9.22,0.71,"[0.41, 0.0]","[0.37, 0.0]",0.72
279,cũ_rích,mới_mẻ,A,0.11,0.67,1.12,0.6,"[0.19, 0.02]","[0.16, 0.05]",0.79
280,lành,kẹt,A,0.05,0.27,0.45,0.51,"[0.02, 0.79]","[0.05, 0.52]",0.44
281,tù,ngục,N,0.92,5.53,9.22,0.65,"[0.31, 0.0]","[0.29, 0.0]",0.88
282,chủ_nghĩa_hình_thức,đức_tính,N,0.21,1.27,2.12,NaN,NaN,NaN,1.34
283,dày_cộp,mỏng_tang,A,0.08,0.47,0.78,0.66,"[0.32, 0.0]","[0.27, 0.0]",0.72
284,cây_trồng,thầy_thuốc_nhân_dân,N,0.14,0.87,1.45,0.55,"[0.09, 0.29]","[0.06, 0.46]",0.96
285,điều_hành,lục_lọi,N,0.41,2.47,4.12,0.51,"[0.01, 0.89]","[0.04, 0.59]",0.72
286,dáng_bộ,dáng_điệu,N,0.83,5.0,8.33,NaN,NaN,NaN,1.21
287,tự_do,phần_cứng,N,0.08,0.47,0.78,0.5,"[-0.0, 0.98]","[0.03, 0.75]",0.62
288,thu_ngân,dân_cư,N,0.41,2.47,4.12,0.55,"[0.11, 0.18]","[0.15, 0.07]",1.2
289,cắt,tẩm,V,0.05,0.27,0.45,0.55,"[0.11, 0.2]","[0.07, 0.4]",0.57
290,nghị_quyết,tài_liệu,N,0.58,3.47,5.78,0.58,"[0.16, 0.05]","[0.12, 0.13]",0.81
291,ăn_nhậu,nhậu_nhẹt,V,0.74,4.47,7.45,0.86,"[0.73, 0.0]","[0.7, 0.0]",0.62
292,gắn_kết,liên_kết,V,0.91,5.47,9.12,0.84,"[0.69, 0.0]","[0.63, 0.0]",0.88
293,máy_tính,bộ_vi_xử_lý,N,0.45,2.67,4.45,0.75,"[0.51, 0.0]","[0.47, 0.0]",0.79
294,cải_thiện,thuần_hoá,V,0.37,2.2,3.67,0.61,"[0.21, 0.01]","[0.24, 0.0]",0.83
295,năng_lực,tột_độ,N,0.29,1.73,2.88,0.49,"[-0.01, 0.86]","[0.01, 0.91]",0.68
296,an_dưỡng,tĩnh_dưỡng,V,0.85,5.13,8.55,0.77,"[0.55, 0.0]","[0.47, 0.0]",1.09
297,di_chuyển,dời,N,0.88,5.27,8.78,0.67,"[0.34, 0.0]","[0.33, 0.0]",0.68
298,ngoài,trong,N,0.1,0.6,1.0,0.56,"[0.12, 0.14]","[0.14, 0.09]",0.71
299,cặp,đôi,N,0.96,5.73,9.55,0.69,"[0.37, 0.0]","[0.36, 0.0]",0.57
300,cẳng,bắp_chân,N,0.47,2.8,4.67,0.65,"[0.3, 0.0]","[0.29, 0.0]",0.65
301,chiến_tranh,hoà_bình,N,0.08,0.47,0.78,0.67,"[0.35, 0.0]","[0.38, 0.0]",0.62
302,đau_đớn,làm_phiền,V,0.87,5.2,8.67,0.53,"[0.07, 0.4]","[0.08, 0.31]",0.83
303,gia_tăng,lạm_phát,V,0.45,2.67,4.45,0.6,"[0.2, 0.01]","[0.17, 0.03]",1.07
304,thói,thái_độ,N,0.43,2.6,4.33,0.72,"[0.44, 0.0]","[0.41, 0.0]",1.25
305,mô_hình,cấu_trúc,N,0.68,4.07,6.78,0.71,"[0.42, 0.0]","[0.34, 0.0]",0.85
306,mạo_danh,lừa_đảo,V,0.74,4.47,7.45,0.8,"[0.61, 0.0]","[0.58, 0.0]",1.09
307,sếp,lãnh_đạo,N,0.71,4.27,7.12,0.66,"[0.33, 0.0]","[0.29, 0.0]",0.77
308,thẻ,kỉ_vật,N,0.43,2.6,4.33,0.56,"[0.11, 0.17]","[0.09, 0.28]",0.95
309,hỏi,đáp,V,0.11,0.67,1.12,0.7,"[0.4, 0.0]","[0.37, 0.0]",0.87
310,tản_bộ,di_chuyển,V,0.58,3.47,5.78,0.69,"[0.39, 0.0]","[0.32, 0.0]",0.96
311,chuệch_choạc,chệch_choạc,A,0.92,5.53,9.22,0.89,"[0.77, 0.0]","[0.72, 0.0]",0.5
312,dương_gian,âm_phủ,N,0.09,0.53,0.88,NaN,NaN,NaN,0.62
313,giải_thích,ngấm,V,0.08,0.47,0.78,0.55,"[0.09, 0.27]","[0.09, 0.28]",0.72
314,mách,mách_nước,V,0.7,4.2,7.0,0.77,"[0.52, 0.0]","[0.51, 0.0]",0.91
315,nước_lớn,xuất_xứ,N,0.17,1.0,1.67,0.54,"[0.08, 0.31]","[0.08, 0.34]",1.21
316,số_hoá,hoá_lỏng,V,0.27,1.6,2.67,0.57,"[0.14, 0.09]","[0.12, 0.15]",0.61
317,dận,nhấn,V,0.78,4.67,7.78,NaN,NaN,NaN,0.79
318,hơi_hướng,hơi_hám,N,0.12,0.73,1.22,NaN,NaN,NaN,0.77
319,cắt_giảm,trừ_khử,V,0.09,0.53,0.88,0.58,"[0.16, 0.05]","[0.16, 0.05]",0.96
320,nhạc_nhẹ,cung_bậc,N,0.23,1.4,2.33,0.58,"[0.17, 0.04]","[0.17, 0.04]",1.2
321,túm_tụm,quần_tụ,V,0.83,5.0,8.33,0.67,"[0.34, 0.0]","[0.31, 0.0]",0.82
322,giở_mặt,lật_lọng,V,0.83,5.0,8.33,NaN,NaN,NaN,1.26
323,thị_giác,võng_mạc,N,0.48,2.87,4.78,0.73,"[0.45, 0.0]","[0.44, 0.0]",0.72
324,người_làm,dân_chơi,N,0.35,2.13,3.55,0.58,"[0.15, 0.06]","[0.12, 0.16]",1.09
325,phân_chia,phân_bổ,N,0.85,5.07,8.45,0.76,"[0.53, 0.0]","[0.53, 0.0]",0.77
326,xâm_nhập,xuyên,V,0.7,4.2,7.0,0.6,"[0.2, 0.01]","[0.14, 0.1]",0.98
327,thuộc_hạ,người_lớn,N,0.32,1.93,3.22,0.6,"[0.21, 0.01]","[0.2, 0.01]",0.93
328,dịch_chuyển,tham_gia,V,0.22,1.33,2.22,0.52,"[0.03, 0.68]","[0.04, 0.6]",0.79
329,bơi,ngụp,V,0.58,3.47,5.78,0.72,"[0.44, 0.0]","[0.4, 0.0]",1.36
330,cư_dân,người_dân,N,0.94,5.67,9.45,0.79,"[0.58, 0.0]","[0.56, 0.0]",0.6
331,khoan_thai,ung_dung,A,0.88,5.27,8.78,0.66,"[0.31, 0.0]","[0.31, 0.0]",0.85
332,xe_tải,nóc,N,0.26,1.53,2.55,0.57,"[0.13, 0.1]","[0.09, 0.25]",1.02
333,mùa_đông,đông_chí,N,0.45,2.67,4.45,0.67,"[0.33, 0.0]","[0.31, 0.0]",0.7
334,lạc_hậu,tiên_tiến,A,0.09,0.53,0.88,0.65,"[0.3, 0.0]","[0.27, 0.0]",0.62
335,chọc_ghẹo,biếu_xén,V,0.11,0.67,1.12,0.63,"[0.25, 0.0]","[0.23, 0.0]",0.94
336,nền,cận_cảnh,N,0.3,1.8,3.0,0.44,"[-0.12, 0.14]","[-0.14, 0.1]",0.75
337,sư_tử,lăng_kính,N,0.13,0.8,1.33,0.5,"[0.01, 0.91]","[-0.05, 0.57]",1.17
338,bẫy,cạm,N,0.83,5.0,8.33,NaN,NaN,NaN,0.63
339,nhảy_múa,nhẩy_múa,V,0.77,4.6,7.67,NaN,NaN,NaN,0.95
340,minh_oan,phá_vây,V,0.06,0.33,0.55,NaN,NaN,NaN,0.47
341,nguyên_nhân,nguyên_do,N,0.99,5.93,9.88,0.91,"[0.82, 0.0]","[0.81, 0.0]",0.25
342,dữ,hiền,A,0.13,0.8,1.33,0.58,"[0.15, 0.07]","[0.17, 0.04]",1.28
343,phần_phụ,bộ_phận,N,0.68,4.07,6.78,0.6,"[0.18, 0.02]","[0.15, 0.06]",0.85
344,anh_dũng,dũng_mãnh,A,0.85,5.13,8.55,0.57,"[0.15, 0.07]","[0.14, 0.08]",0.72
345,buôn_bán,vận_tải,N,0.4,2.4,4.0,0.6,"[0.19, 0.02]","[0.19, 0.02]",0.8
346,khấp_khểnh,gập_ghềnh,A,0.91,5.47,9.12,NaN,NaN,NaN,0.72
347,đâm_sầm,phóng,V,0.57,3.4,5.67,0.66,"[0.32, 0.0]","[0.27, 0.0]",1.31
348,bò,đi,V,0.43,2.6,4.33,0.5,"[-0.0, 0.99]","[-0.02, 0.81]",1.02
349,yểm_hộ,yểm_trợ,V,0.83,5.0,8.33,NaN,NaN,NaN,0.89
350,vòng_vòng,ngoại_tiếp,A,0.3,1.8,3.0,NaN,NaN,NaN,1.28
351,nội_tiết,luồng,N,0.18,1.07,1.78,0.5,"[0.0, 0.96]","[0.01, 0.87]",1.06
352,dị_ứng,lương_tri,N,0.06,0.33,0.55,0.49,"[-0.01, 0.88]","[0.0, 0.99]",0.6
353,trẩy_hội,ứng_chiến,V,0.09,0.53,0.88,NaN,NaN,NaN,0.72
354,vặn,vặn_vẹo,V,0.69,4.13,6.88,0.67,"[0.33, 0.0]","[0.34, 0.0]",1.15
355,lùng_bùng,vắng_ngắt,A,0.27,1.6,2.67,0.59,"[0.18, 0.03]","[0.18, 0.03]",1.14
356,chê,khen,V,0.02,0.13,0.22,0.63,"[0.26, 0.0]","[0.21, 0.01]",0.34
357,tượng_đài,bảng_tổng_sắp,N,0.13,0.8,1.33,0.53,"[0.06, 0.43]","[0.08, 0.35]",1.05
358,người_yêu,tình_nhân,N,0.5,3.0,5.0,0.7,"[0.41, 0.0]","[0.36, 0.0]",1.1
359,thiện_cảm,ác_cảm,N,0.09,0.53,0.88,0.8,"[0.59, 0.0]","[0.53, 0.0]",0.72
360,trau_chuốt,phát_triển,V,0.34,2.07,3.45,0.57,"[0.13, 0.12]","[0.14, 0.1]",0.93
361,gươm,lưỡi,N,0.23,1.4,2.33,0.63,"[0.25, 0.0]","[0.25, 0.0]",1.02
362,bánh_xe,vành,N,0.43,2.6,4.33,0.73,"[0.46, 0.0]","[0.42, 0.0]",0.95
363,tượng_đài,phân_bón,N,0.01,0.07,0.12,0.46,"[-0.09, 0.3]","[-0.05, 0.51]",0.25
364,nạc,búi,A,0.1,0.6,1.0,0.57,"[0.15, 0.08]","[0.14, 0.09]",0.8
365,khung_thành,cầu_môn,N,0.9,5.4,9.0,0.95,"[0.91, 0.0]","[0.9, 0.0]",1.25
366,kĩ,sơ_sài,A,0.03,0.2,0.33,0.68,"[0.36, 0.0]","[0.37, 0.0]",0.4
367,buồn,vui,A,0.03,0.2,0.33,0.82,"[0.63, 0.0]","[0.58, 0.0]",0.54
368,nhược_điểm,ưu_điểm,N,0.06,0.33,0.55,0.85,"[0.7, 0.0]","[0.68, 0.0]",0.79
369,quan_hệ,trạng_thái,N,0.46,2.73,4.55,0.59,"[0.18, 0.03]","[0.17, 0.04]",0.68
370,đong_đưa,vung_vẩy,V,0.66,3.93,6.55,0.69,"[0.37, 0.0]","[0.33, 0.0]",1.24
371,bừa_bãi,gọn_ghẽ,A,0.05,0.27,0.45,0.58,"[0.16, 0.05]","[0.14, 0.08]",0.44
372,nghiêm_lệnh,đồng_dao,N,0.18,1.07,1.78,NaN,NaN,NaN,1.06
373,nhà_thơ,thi_nhân,N,0.81,4.87,8.12,0.83,"[0.65, 0.0]","[0.66, 0.0]",0.81
374,máy_tính,vi_xử_lý,N,0.4,2.4,4.0,0.72,"[0.43, 0.0]","[0.42, 0.0]",0.61
375,né_tránh,hích,V,0.43,2.6,4.33,0.54,"[0.09, 0.29]","[0.07, 0.4]",1.14
376,địch,ta,N,0.06,0.33,0.55,0.67,"[0.34, 0.0]","[0.34, 0.0]",0.7
377,lưu_thông,ách_tắc,V,0.09,0.53,0.88,0.65,"[0.31, 0.0]","[0.3, 0.0]",1.02
378,thứ_yếu,rộng_rãi,A,0.03,0.2,0.33,0.52,"[0.04, 0.59]","[0.05, 0.57]",0.4
379,đặt_chân,thay,V,0.55,3.27,5.45,0.6,"[0.22, 0.01]","[0.24, 0.0]",1.24
380,dì_ghẻ,phụ_huynh,N,0.63,3.8,6.33,0.62,"[0.24, 0.0]","[0.23, 0.01]",0.91
381,rỗi,rỗi_rãi,A,0.92,5.53,9.22,0.76,"[0.52, 0.0]","[0.51, 0.0]",0.72
382,tái_phát,nhiễm_khuẩn,V,0.14,0.87,1.45,0.7,"[0.41, 0.0]","[0.42, 0.0]",0.72
383,mầm,rau_quả,N,0.59,3.53,5.88,0.6,"[0.2, 0.01]","[0.19, 0.02]",1.02
384,hạn_hán,lụt_lội,N,0.06,0.33,0.55,0.84,"[0.68, 0.0]","[0.64, 0.0]",0.6
385,lưỡng_lự,dứt_khoát,V,0.05,0.27,0.45,0.62,"[0.23, 0.0]","[0.23, 0.0]",0.57
386,tung,cấp_phát,V,0.66,3.93,6.55,0.59,"[0.18, 0.02]","[0.16, 0.05]",0.68
387,giầu,khó,A,0.09,0.53,0.88,0.57,"[0.14, 0.09]","[0.16, 0.05]",0.72
388,làm_đẹp,cải_tạo,V,0.4,2.4,4.0,0.59,"[0.18, 0.03]","[0.15, 0.06]",1.02
389,ban_mai,sớm_mai,N,0.9,5.4,9.0,0.74,"[0.49, 0.0]","[0.45, 0.0]",1.08
390,quỳ,ví,V,0.17,1.0,1.67,0.53,"[0.06, 0.47]","[0.05, 0.53]",1.26
391,bại_lộ,lộ,V,0.85,5.07,8.45,0.74,"[0.47, 0.0]","[0.45, 0.0]",1.24
392,tính_cách,phẩm_chất,N,0.73,4.4,7.33,0.75,"[0.49, 0.0]","[0.49, 0.0]",1.14
393,triều_đại,cổ_đại,N,0.61,3.67,6.12,0.64,"[0.28, 0.0]","[0.27, 0.0]",1.14
394,cõi_dương,cõi_âm,N,0.1,0.6,1.0,NaN,NaN,NaN,1.2
395,lình_xình,nặng_tình,A,0.22,1.33,2.22,0.59,"[0.17, 0.04]","[0.12, 0.14]",1.14
396,người_làm,người_bị_hại,N,0.37,2.2,3.67,0.57,"[0.13, 0.1]","[0.18, 0.03]",0.83
397,cõi_tục,trần_gian,N,0.9,5.4,9.0,NaN,NaN,NaN,0.71
398,chần_chừ,lảo_đảo,V,0.53,3.2,5.33,0.56,"[0.12, 0.16]","[0.13, 0.11]",0.98
399,khử_trùng,sát_trùng,V,0.92,5.53,9.22,0.85,"[0.7, 0.0]","[0.7, 0.0]",0.81
